id_code,experiment,plate,well,sirna,cell_type,site,image_dir,image_pattern,image_root
HEPG2-03_1_D11,HEPG2-03,1,D11,sirna_561,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D12,HEPG2-03,1,D12,sirna_555,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D13,HEPG2-03,1,D13,sirna_880,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D14,HEPG2-03,1,D14,sirna_749,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D15,HEPG2-03,1,D15,sirna_709,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D16,HEPG2-03,1,D16,sirna_1129,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D17,HEPG2-03,1,D17,sirna_364,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D18,HEPG2-03,1,D18,sirna_425,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D19,HEPG2-03,1,D19,sirna_112,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D20,HEPG2-03,1,D20,sirna_684,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D21,HEPG2-03,1,D21,sirna_553,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D22,HEPG2-03,1,D22,sirna_661,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_D23,HEPG2-03,1,D23,sirna_814,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E02,HEPG2-03,1,E02,sirna_43,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E03,HEPG2-03,1,E03,sirna_846,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E04,HEPG2-03,1,E04,sirna_664,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E05,HEPG2-03,1,E05,sirna_906,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E06,HEPG2-03,1,E06,sirna_930,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E07,HEPG2-03,1,E07,sirna_232,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E08,HEPG2-03,1,E08,sirna_668,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E09,HEPG2-03,1,E09,sirna_859,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E10,HEPG2-03,1,E10,sirna_482,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E11,HEPG2-03,1,E11,sirna_13,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E12,HEPG2-03,1,E12,sirna_155,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E13,HEPG2-03,1,E13,sirna_494,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E14,HEPG2-03,1,E14,sirna_735,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E15,HEPG2-03,1,E15,sirna_113,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E16,HEPG2-03,1,E16,sirna_908,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E17,HEPG2-03,1,E17,sirna_153,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E18,HEPG2-03,1,E18,sirna_777,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E19,HEPG2-03,1,E19,sirna_403,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E20,HEPG2-03,1,E20,sirna_1047,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E21,HEPG2-03,1,E21,sirna_282,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E22,HEPG2-03,1,E22,sirna_649,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_E23,HEPG2-03,1,E23,sirna_501,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F02,HEPG2-03,1,F02,sirna_653,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F04,HEPG2-03,1,F04,sirna_928,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F05,HEPG2-03,1,F05,sirna_917,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F06,HEPG2-03,1,F06,sirna_174,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F08,HEPG2-03,1,F08,sirna_895,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F09,HEPG2-03,1,F09,sirna_529,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F10,HEPG2-03,1,F10,sirna_213,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F12,HEPG2-03,1,F12,sirna_197,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F13,HEPG2-03,1,F13,sirna_819,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F14,HEPG2-03,1,F14,sirna_1078,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F16,HEPG2-03,1,F16,sirna_631,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F17,HEPG2-03,1,F17,sirna_670,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F18,HEPG2-03,1,F18,sirna_241,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F20,HEPG2-03,1,F20,sirna_715,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F21,HEPG2-03,1,F21,sirna_289,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_F23,HEPG2-03,1,F23,sirna_93,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G02,HEPG2-03,1,G02,sirna_416,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G03,HEPG2-03,1,G03,sirna_496,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G04,HEPG2-03,1,G04,sirna_1019,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G05,HEPG2-03,1,G05,sirna_990,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G06,HEPG2-03,1,G06,sirna_607,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G07,HEPG2-03,1,G07,sirna_1098,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G08,HEPG2-03,1,G08,sirna_831,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G09,HEPG2-03,1,G09,sirna_959,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G10,HEPG2-03,1,G10,sirna_437,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G11,HEPG2-03,1,G11,sirna_193,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G12,HEPG2-03,1,G12,sirna_15,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G13,HEPG2-03,1,G13,sirna_1013,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G14,HEPG2-03,1,G14,sirna_1121,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G15,HEPG2-03,1,G15,sirna_60,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G16,HEPG2-03,1,G16,sirna_934,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G17,HEPG2-03,1,G17,sirna_870,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G18,HEPG2-03,1,G18,sirna_502,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G19,HEPG2-03,1,G19,sirna_465,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G20,HEPG2-03,1,G20,sirna_321,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G21,HEPG2-03,1,G21,sirna_893,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G22,HEPG2-03,1,G22,sirna_659,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_G23,HEPG2-03,1,G23,sirna_163,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H02,HEPG2-03,1,H02,sirna_615,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H04,HEPG2-03,1,H04,sirna_1116,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H05,HEPG2-03,1,H05,sirna_754,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H06,HEPG2-03,1,H06,sirna_983,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H08,HEPG2-03,1,H08,sirna_1004,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H09,HEPG2-03,1,H09,sirna_402,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H10,HEPG2-03,1,H10,sirna_229,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H12,HEPG2-03,1,H12,sirna_854,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H13,HEPG2-03,1,H13,sirna_671,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H14,HEPG2-03,1,H14,sirna_751,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H16,HEPG2-03,1,H16,sirna_181,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H17,HEPG2-03,1,H17,sirna_254,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H18,HEPG2-03,1,H18,sirna_544,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H20,HEPG2-03,1,H20,sirna_309,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H21,HEPG2-03,1,H21,sirna_851,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_H23,HEPG2-03,1,H23,sirna_295,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I02,HEPG2-03,1,I02,sirna_131,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I03,HEPG2-03,1,I03,sirna_104,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I04,HEPG2-03,1,I04,sirna_448,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I05,HEPG2-03,1,I05,sirna_574,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I06,HEPG2-03,1,I06,sirna_816,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I07,HEPG2-03,1,I07,sirna_711,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I08,HEPG2-03,1,I08,sirna_943,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I09,HEPG2-03,1,I09,sirna_51,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I10,HEPG2-03,1,I10,sirna_1137,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I11,HEPG2-03,1,I11,sirna_343,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I12,HEPG2-03,1,I12,sirna_311,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I13,HEPG2-03,1,I13,sirna_217,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I14,HEPG2-03,1,I14,sirna_275,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I15,HEPG2-03,1,I15,sirna_1021,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I16,HEPG2-03,1,I16,sirna_118,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I17,HEPG2-03,1,I17,sirna_606,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I18,HEPG2-03,1,I18,sirna_716,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I19,HEPG2-03,1,I19,sirna_45,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I20,HEPG2-03,1,I20,sirna_427,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I21,HEPG2-03,1,I21,sirna_239,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I22,HEPG2-03,1,I22,sirna_850,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_I23,HEPG2-03,1,I23,sirna_139,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
HEPG2-03_1_J02,HEPG2-03,1,J02,sirna_1030,HEPG2,1,images/HEPG2-03/Plate1,{experiment}/Plate{plate}/{well}_s{site}_w{channel}.png,images
