sirna,sirna_id
sirna_345,16
sirna_346,167
sirna_347,802
sirna_348,348
sirna_349,904
sirna_35,964
sirna_350,408
sirna_351,574
sirna_352,426
sirna_353,602
sirna_354,410
sirna_355,508
sirna_356,735
sirna_357,1044
sirna_358,727
sirna_359,1017
sirna_36,560
sirna_360,173
sirna_361,515
sirna_362,479
sirna_363,430
sirna_364,195
sirna_365,271
sirna_366,23
sirna_367,588
sirna_368,498
sirna_369,135
sirna_37,216
sirna_370,839
sirna_371,54
sirna_372,611
sirna_373,107
sirna_375,695
sirna_376,669
sirna_377,1034
sirna_378,337
sirna_379,68
sirna_38,733
sirna_380,1093
sirna_381,353
sirna_382,926
sirna_383,805
sirna_384,995
sirna_385,436
sirna_386,1073
sirna_387,451
sirna_388,880
sirna_389,848
sirna_39,439
sirna_390,437
sirna_391,648
sirna_392,121
sirna_393,333
sirna_394,363
sirna_395,666
sirna_396,792
sirna_397,940
sirna_398,998
sirna_399,194
sirna_4,165
sirna_40,608
sirna_400,429
sirna_401,21
sirna_402,239
sirna_403,607
sirna_404,262
sirna_405,127
sirna_406,146
sirna_407,58
sirna_408,368
sirna_409,364
sirna_41,867
sirna_411,267
sirna_412,896
sirna_413,72
sirna_414,533
sirna_415,1095
sirna_416,555
sirna_417,73
sirna_418,604
sirna_419,399
sirna_42,852
sirna_420,201
sirna_421,273
sirna_422,888
sirna_423,886
sirna_424,208
sirna_425,1065
sirna_426,845
sirna_427,715
sirna_428,352
sirna_429,801
sirna_43,46
sirna_430,847
sirna_431,367
sirna_432,595
sirna_433,106
sirna_434,760
sirna_435,233
sirna_436,951
sirna_437,1056
sirna_438,427
sirna_439,1084
sirna_44,1099
sirna_440,654
sirna_441,928
sirna_442,885
sirna_443,1075
sirna_444,242
sirna_445,282
sirna_446,969
sirna_447,530
sirna_448,74
sirna_449,277
sirna_45,59
sirna_450,462
sirna_451,264
sirna_452,115
sirna_453,231
sirna_454,382
sirna_455,768
sirna_456,174
sirna_457,558
sirna_458,145
sirna_459,614
sirna_46,552
sirna_460,128
sirna_461,643
sirna_462,853
sirna_463,356
sirna_464,26
sirna_465,541
sirna_466,650
sirna_467,449
sirna_468,865
sirna_469,957
sirna_47,454
sirna_470,524
sirna_471,903
sirna_472,930
sirna_473,603
sirna_474,518
sirna_475,324
sirna_476,640
sirna_477,628
sirna_478,744
sirna_479,966
sirna_48,837
sirna_480,571
sirna_481,808
sirna_482,838
sirna_483,313
sirna_484,47
sirna_485,499
sirna_486,748
sirna_487,388
sirna_488,703
sirna_489,823
sirna_49,336
sirna_490,153
sirna_491,932
sirna_492,697
sirna_493,1007
sirna_494,657
sirna_495,679
sirna_496,1101
sirna_497,937
sirna_498,1008
sirna_499,380
sirna_5,168
sirna_50,942
sirna_500,509
sirna_501,883
sirna_502,1013
sirna_503,311
sirna_504,914
sirna_505,292
sirna_506,394
sirna_507,280
sirna_508,149
sirna_509,36
sirna_51,366
sirna_510,623
sirna_511,193
sirna_512,1080
sirna_513,306
sirna_514,936
sirna_515,1052
sirna_516,369
sirna_517,4
sirna_518,62
sirna_519,81
sirna_520,696
sirna_521,897
sirna_522,13
sirna_523,644
sirna_524,142
sirna_525,419
sirna_526,774
sirna_527,1
sirna_528,1058
sirna_529,144
sirna_53,635
sirna_530,822
sirna_531,589
sirna_532,1072
sirna_533,470
sirna_534,807
sirna_535,707
sirna_536,1015
sirna_537,579
sirna_538,370
sirna_539,624
sirna_54,539
sirna_540,335
sirna_541,872
sirna_543,946
sirna_544,124
sirna_545,873
sirna_546,474
sirna_547,553
sirna_548,56
sirna_549,631
sirna_55,164
sirna_550,572
sirna_551,755
sirna_552,754
sirna_553,276
sirna_554,25
sirna_555,681
sirna_556,615
sirna_557,440
sirna_558,536
sirna_559,766
sirna_56,752
sirna_560,1063
sirna_561,1027
sirna_562,112
sirna_563,906
sirna_564,1022
sirna_565,96
sirna_566,948
sirna_567,686
sirna_568,297
sirna_569,844
sirna_57,724
sirna_570,990
sirna_571,45
sirna_572,963
sirna_573,783
sirna_574,217
sirna_575,48
sirna_576,246
sirna_578,511
sirna_579,988
sirna_58,687
sirna_580,1079
sirna_581,301
sirna_582,150
sirna_583,328
sirna_584,446
sirna_585,655
sirna_586,65
sirna_587,816
sirna_588,691
sirna_589,593
sirna_59,1024
sirna_590,619
sirna_591,137
sirna_592,30
sirna_593,341
sirna_594,199
sirna_595,170
sirna_596,1014
sirna_597,961
sirna_598,318
sirna_599,652
sirna_6,375
sirna_60,155
sirna_600,721
sirna_601,1016
sirna_602,254
sirna_603,943
sirna_604,1005
sirna_605,404
sirna_606,959
sirna_607,622
sirna_608,1045
sirna_609,229
sirna_61,586
sirna_610,6
sirna_611,133
sirna_612,148
sirna_613,999
sirna_614,298
sirna_615,806
sirna_616,649
sirna_617,35
sirna_619,597
sirna_62,840
sirna_620,405
sirna_621,1092
sirna_622,105
sirna_623,457
sirna_624,136
sirna_625,253
sirna_626,189
sirna_627,544
sirna_628,219
sirna_629,418
sirna_63,500
sirna_630,944
sirna_631,238
sirna_632,737
sirna_633,472
sirna_634,991
sirna_635,422
sirna_636,583
sirna_637,14
sirna_638,491
sirna_639,504
sirna_64,299
sirna_640,38
sirna_641,87
sirna_642,28
sirna_643,93
sirna_644,190
sirna_645,108
sirna_646,125
sirna_647,974
sirna_648,161
sirna_649,784
sirna_65,753
sirna_651,326
sirna_652,599
sirna_653,626
sirna_654,1059
sirna_655,826
sirna_656,76
sirna_657,1083
sirna_658,711
sirna_659,786
sirna_66,460
sirna_660,527
sirna_661,676
sirna_662,918
sirna_663,300
sirna_664,94
sirna_665,1033
sirna_666,131
sirna_667,157
sirna_668,585
sirna_669,232
sirna_67,714
sirna_670,705
sirna_671,894
sirna_673,970
sirna_674,1061
sirna_675,854
sirna_676,761
sirna_677,69
sirna_678,939
sirna_679,305
sirna_68,659
sirna_680,118
sirna_681,248
sirna_683,119
sirna_684,212
sirna_685,933
sirna_686,143
sirna_687,720
sirna_688,102
sirna_689,633
sirna_69,834
sirna_690,438
sirna_691,973
sirna_692,712
sirna_693,1041
sirna_694,278
sirna_695,1066
sirna_696,179
sirna_697,44
sirna_698,378
sirna_699,184
sirna_7,1032
sirna_70,57
sirna_700,731
sirna_701,950
sirna_703,329
sirna_704,275
sirna_705,701
sirna_706,1021
sirna_707,632
sirna_708,463
sirna_709,670
sirna_71,789
sirna_710,878
sirna_711,371
sirna_712,423
sirna_713,758
sirna_715,415
sirna_716,910
sirna_717,66
sirna_718,901
sirna_719,261
sirna_72,952
sirna_720,566
sirna_721,751
sirna_722,85
sirna_723,921
sirna_724,864
sirna_725,393
sirna_726,234
sirna_727,708
sirna_728,793
sirna_729,377
sirna_73,1046
sirna_730,601
sirna_731,1010
sirna_732,843
sirna_733,312
sirna_734,197
sirna_735,692
sirna_736,314
sirna_737,658
sirna_738,925
sirna_739,169
sirna_74,989
sirna_740,279
sirna_741,347
sirna_742,818
sirna_743,458
sirna_744,884
sirna_745,338
sirna_746,175
sirna_747,252
sirna_748,466
sirna_749,981
sirna_75,84
sirna_750,245
sirna_751,889
sirna_752,975
sirna_753,788
sirna_754,606
sirna_755,358
sirna_757,514
sirna_758,315
sirna_759,977
sirna_76,677
sirna_760,178
sirna_761,702
sirna_762,949
sirna_763,424
sirna_764,634
sirna_765,549
sirna_767,320
sirna_768,441
sirna_769,344
sirna_77,661
sirna_770,83
sirna_771,548
sirna_772,37
sirna_773,61
sirna_774,92
sirna_775,1036
sirna_776,739
sirna_777,576
sirna_778,521
sirna_779,272
sirna_78,890
sirna_780,550
sirna_781,396
sirna_782,122
sirna_783,682
sirna_784,20
sirna_785,114
sirna_786,525
sirna_787,630
sirna_788,907
sirna_789,400
sirna_79,1003
sirna_790,820
sirna_791,911
sirna_792,874
sirna_793,522
sirna_794,1082
sirna_795,435
sirna_796,833
sirna_797,1054
sirna_798,71
sirna_799,770
sirna_8,968
sirna_80,625
sirna_800,172
sirna_801,134
sirna_802,516
sirna_803,8
sirna_804,310
sirna_805,551
sirna_806,627
sirna_807,1094
sirna_808,882
sirna_809,334
sirna_81,817
sirna_811,543
sirna_812,863
sirna_813,342
sirna_814,775
sirna_815,534
sirna_816,268
sirna_817,362
sirna_818,1105
sirna_819,798
sirna_82,567
sirna_820,409
sirna_821,1091
sirna_823,706
sirna_824,304
sirna_826,575
sirna_827,359
sirna_828,915
sirna_829,485
sirna_83,374
sirna_830,642
sirna_831,1025
sirna_832,641
sirna_833,251
sirna_834,520
sirna_835,667
sirna_836,210
sirna_837,373
sirna_838,443
sirna_839,211
sirna_84,895
sirna_840,861
sirna_841,402
sirna_843,256
sirna_844,97
sirna_845,77
sirna_846,875
sirna_847,638
sirna_848,39
sirna_849,123
sirna_85,53
sirna_850,309
sirna_851,831
sirna_853,1029
sirna_854,972
sirna_855,804
sirna_856,954
sirna_857,1077
sirna_858,7
sirna_859,523
sirna_86,203
sirna_860,580
sirna_861,743
sirna_862,662
sirna_863,503
sirna_865,158
sirna_866,473
sirna_867,101
sirna_868,1018
sirna_869,420
sirna_87,307
sirna_870,598
sirna_871,283
sirna_872,704
sirna_873,209
sirna_874,759
sirna_875,934
sirna_876,542
sirna_877,664
sirna_878,447
sirna_879,15
sirna_88,581
sirna_880,224
sirna_881,237
sirna_882,609
sirna_883,1047
sirna_884,1040
sirna_885,994
sirna_886,920
sirna_887,1076
sirna_889,785
sirna_89,185
sirna_890,665
sirna_891,260
sirna_892,493
sirna_893,3
sirna_894,19
sirna_895,986
sirna_896,227
sirna_897,141
sirna_898,672
sirna_899,285
sirna_9,428
sirna_90,290
sirna_900,383
sirna_901,812
sirna_902,746
sirna_903,401
sirna_904,899
sirna_905,1049
sirna_906,397
sirna_907,109
sirna_908,345
sirna_909,675
sirna_91,855
sirna_910,221
sirna_911,836
sirna_912,376
sirna_913,416
sirna_914,779
sirna_915,653
sirna_916,510
sirna_917,556
sirna_918,60
sirna_919,70
sirna_92,730
sirna_920,912
sirna_921,191
sirna_922,726
sirna_923,671
sirna_924,274
sirna_925,610
sirna_926,568
sirna_927,821
sirna_928,489
sirna_929,319
sirna_93,177
sirna_930,1039
sirna_931,776
sirna_932,757
sirna_933,79
sirna_934,391
sirna_935,796
sirna_936,249
sirna_937,225
sirna_938,1038
sirna_939,22
sirna_94,997
sirna_940,698
sirna_941,842
sirna_942,1006
sirna_943,372
sirna_944,616
sirna_945,778
sirna_946,11
sirna_947,259
sirna_948,505
sirna_949,958
sirna_95,618
sirna_950,656
sirna_951,43
sirna_952,1087
sirna_953,293
sirna_954,86
sirna_955,1042
sirna_956,103
sirna_957,953
sirna_958,129
sirna_959,89
sirna_96,100
sirna_960,204
sirna_961,540
sirna_962,678
sirna_963,772
sirna_964,456
sirna_965,140
sirna_966,683
sirna_968,317
sirna_969,913
sirna_97,111
sirna_970,563
sirna_971,935
sirna_972,138
sirna_973,851
sirna_974,357
sirna_975,1097
sirna_976,529
sirna_977,461
sirna_978,181
sirna_979,78
sirna_98,406
sirna_980,993
sirna_981,361
sirna_982,223
sirna_983,147
sirna_984,668
sirna_985,984
sirna_986,295
sirna_987,250
sirna_988,592
sirna_989,794
sirna_99,296
sirna_990,355
sirna_991,528
sirna_992,709
sirna_993,810
sirna_994,740
sirna_995,916
sirna_996,88
sirna_997,559
sirna_998,287
sirna_999,690
